"MIC","OPERATING MIC","OPRT/SGMT","MARKET NAME-INSTITUTION DESCRIPTION","LEGAL ENTITY NAME","LEI","MARKET CATEGORY CODE","ACRONYM","ISO COUNTRY CODE (ISO 3166)","CITY","WEBSITE","STATUS","CREATION DATE","LAST UPDATE DATE","LAST VALIDATION DATE","EXPIRY DATE","COMMENTS"
"AILT","AILT","OPRT","ARRACO IRELAND LTD","ARRACO IRELAND LTD","549300PSF3R0OJC39C84","NSPD","","IE","DUBLIN","WWW.ARRACO.COM","ACTIVE","20210125","20210125","20210125","","BROKER OF REMIT PHYSICAL WHOLESALE ENERGY PRODUCTS AND PRE-ARRANGEMENT OF BLOCK FUTURES."
"ARAX","ARAX","OPRT","ARRACO GLOBAL MARKETS LTD","ARRACO GLOBAL MARKETS LTD","5493004Z6DAT13X5DK60","NSPD","","GB","LONDON","WWW.ARRACO.COM","ACTIVE","20160328","20210125","20210125","","REGISTERED FOR BROKING OF EUROPEAN POWER AND GAS WHOLESALE PRODUCTS."
"CGXS","CGXS","OPRT","ONECHRONOS","ONECHRONOS MARKETS LLC","254900L815YJ972LG694","NSPD","","US","NEW YORK","WWW.ONECHRONOS.COM","ACTIVE","20210125","20210125","","",""
"EQOC","EQOS","SGMT","EQUOS SPOT","DIGINEX CAPITAL PTE. LTD","984500E3E4004D088181","NSPD","","SG","SINGAPORE","HTTPS://EQUOS.IO/","ACTIVE","20210125","20210125","","",""
"EQOD","EQOS","SGMT","EQUOS DERIVATIVES","DIGINEX CAPITAL PTE. LTD","984500E3E4004D088181","NSPD","","SG","SINGAPORE","HTTPS://EQUOS.IO/","ACTIVE","20210125","20210125","","",""
"AQED","AQEU","SGMT","AQUIS EXCHANGE EUROPE NON DISPLAY ORDER BOOK (NDOB)","AQUIS EXCHANGE EUROPE","213800IXJSF5E1SIW150","NSPD","","FR","PARIS","WWW.AQUIS.EU","ACTIVE","20201228","20201228","","",""
"EIXE","AQXE","SGMT","AQUIS EXCHANGE PLC AQUIS - EIX INFRASTRUCTURE BOND MARKET","AQUIS EXCHANGE PLC","213800IXJSF5E1SIW150","MLTF","AQUIS-EIX","GB","LONDON","WWW.AQUIS.EU","ACTIVE","20190325","20230123","20230123","","AQUIS-EIX INFRASTRUCTURE BOND MARKET"
"HPCS","HPCX","SGMT","HPC ENERGY TRADING","HPC","969500AMLHB21RACL168","NSPD","HPC","FR","PARIS","WWW.OTCEXGROUP.COM","ACTIVE","20170424","20201228","","","TRADE NAME: TRAYPORT"
"MIDC","MIDC","OPRT","MIDCHAINS","MIDCHAINS LIMITED","213800WZJ9V6RNUV8R74","NSPD","","AE","ABU DHABI","WWW.MIDCHAINS.COM","ACTIVE","20201228","20201228","","",""
"RABL","RABL","OPRT","RABOBANK INTERNATIONAL UK","RABOBANK INTERNATIONAL LONDON","DG3RU1DBUFHT4ZF9WN62","SINT","","GB","LONDON","WWW.RABOBANK.COM","ACTIVE","20201228","20201228","","","SYSTEMATIC INTERNALISER."
"RMMS","RMMS","OPRT","RMB MORGAN STANLEY","RMB MORGAN STANLEY","54930026T33G80GFU737","NSPD","","ZA","JOHANNESBURG","WWW.RMB.CO.ZA/SOLUTION/EQUITY-SALES-TRADING-AND-RESEARCH","ACTIVE","20201228","20201228","","",""
